"","X","sample","region","time","density","phenotype","patient"
"94",94,"pP7","reg006","pGBM",3.71914694889476e-05,"Macrophages","P7"
"95",95,"pP7","reg006","pGBM",9.2978673722369e-07,"DC","P7"
"96",96,"pP7","reg006","pGBM",4.95886259852634e-06,"Microglia","P7"
"97",97,"rP1","reg001","rGBM",2.02850548106791e-05,"TCD4","P1"
"98",98,"rP1","reg001","rGBM",5.99331164860974e-06,"TCD8","P1"
"99",99,"rP1","reg001","rGBM",0.000295516366673757,"Monocyte","P1"
"100",100,"rP1","reg001","rGBM",0.000132313880242384,"Macrophages","P1"
"101",101,"rP1","reg001","rGBM",5.53228767563976e-06,"DC","P1"
"102",102,"rP1","reg001","rGBM",0.00100733738093941,"Microglia","P1"
"103",103,"rP1","reg002","rGBM",1.547655752374e-05,"TCD4","P1"
"104",104,"rP1","reg002","rGBM",4.37380973497001e-06,"TCD8","P1"
"105",105,"rP1","reg002","rGBM",8.20930442563601e-05,"Monocyte","P1"
"106",106,"rP1","reg002","rGBM",0.00011540128762267,"Macrophages","P1"
"107",107,"rP1","reg002","rGBM",2.69157522152e-05,"DC","P1"
"108",108,"rP1","reg002","rGBM",0.000532259000055581,"Microglia","P1"
"109",109,"rP1","reg003","rGBM",6.86751747408027e-06,"TCD4","P1"
"110",110,"rP1","reg003","rGBM",9.15668996544036e-06,"TCD8","P1"
"111",111,"rP1","reg003","rGBM",8.03753896966432e-05,"Monocyte","P1"
"112",112,"rP1","reg003","rGBM",0.000212129984199368,"Macrophages","P1"
"113",113,"rP1","reg003","rGBM",1.90764374280008e-05,"DC","P1"
"114",114,"rP1","reg003","rGBM",0.000776538179569151,"Microglia","P1"
"115",115,"rP1","reg005","rGBM",3.65954184365888e-05,"TCD4","P1"
"116",116,"rP1","reg005","rGBM",4.5744273045736e-06,"TCD8","P1"
"117",117,"rP1","reg005","rGBM",0.00031014617125009,"Monocyte","P1"
"118",118,"rP1","reg005","rGBM",0.000189381290409347,"Macrophages","P1"
"119",119,"rP1","reg005","rGBM",2.47019074446975e-05,"DC","P1"
"120",120,"rP1","reg005","rGBM",0.00178036710694005,"Microglia","P1"
"121",121,"rP1","reg006","rGBM",1.31423098595251e-05,"TCD4","P1"
"122",122,"rP1","reg006","rGBM",7.80324647909305e-06,"TCD8","P1"
"123",123,"rP1","reg006","rGBM",2.01241619723979e-05,"Monocyte","P1"
"124",124,"rP1","reg006","rGBM",8.50143169038032e-05,"Macrophages","P1"
"125",125,"rP1","reg006","rGBM",4.1069718311016e-06,"DC","P1"
"126",126,"rP1","reg006","rGBM",0.000145797500004107,"Microglia","P1"
"127",127,"rP1","reg007","rGBM",1.10381097361506e-05,"TCD4","P1"
"128",128,"rP1","reg007","rGBM",2.38824556109441e-05,"TCD8","P1"
"129",129,"rP1","reg007","rGBM",6.30175719482055e-05,"Monocyte","P1"
"130",130,"rP1","reg007","rGBM",0.000104561003136991,"Macrophages","P1"
"131",131,"rP1","reg007","rGBM",6.22148003310309e-06,"DC","P1"
"132",132,"rP1","reg007","rGBM",0.000509358591097279,"Microglia","P1"
"133",133,"rP2","reg001","rGBM",0.000721087348864542,"TCD4","P2"
"134",134,"rP2","reg001","rGBM",1.51361744094152e-06,"TCD8","P2"
"135",135,"rP2","reg001","rGBM",0.000236124320786878,"Monocyte","P2"
"136",136,"rP2","reg001","rGBM",3.32995837007135e-05,"Macrophages","P2"
"137",137,"rP2","reg001","rGBM",2.20988146377462e-05,"DC","P2"
"138",138,"rP2","reg001","rGBM",6.3571932519544e-06,"Microglia","P2"
"139",139,"rP2","reg002","rGBM",7.84715345881533e-07,"TCD4","P2"
"140",140,"rP2","reg002","rGBM",0,"TCD8","P2"
"141",141,"rP2","reg002","rGBM",2.74650371058537e-06,"Monocyte","P2"
"142",142,"rP2","reg002","rGBM",2.74650371058537e-06,"Macrophages","P2"
"143",143,"rP2","reg002","rGBM",1.96178836470383e-06,"DC","P2"
"144",144,"rP2","reg002","rGBM",0.000198140624835087,"Microglia","P2"
"145",145,"rP2","reg004","rGBM",0.000132883622939096,"TCD4","P2"
"146",146,"rP2","reg004","rGBM",3.0200823395249e-06,"TCD8","P2"
"147",147,"rP2","reg004","rGBM",0.000124578396505402,"Monocyte","P2"
"148",148,"rP2","reg004","rGBM",9.55101039874751e-05,"Macrophages","P2"
"149",149,"rP2","reg004","rGBM",5.43614821114483e-05,"DC","P2"
"150",150,"rP2","reg004","rGBM",7.17269555637165e-05,"Microglia","P2"
"151",151,"rP5","reg005","rGBM",1.42823381840712e-05,"TCD4","P5"
"152",152,"rP5","reg005","rGBM",7.59698839578255e-07,"TCD8","P5"
"153",153,"rP5","reg005","rGBM",7.90086793161385e-06,"Monocyte","P5"
"154",154,"rP5","reg005","rGBM",5.46983164496344e-06,"Macrophages","P5"
"155",155,"rP5","reg005","rGBM",5.01401234121649e-06,"DC","P5"
"156",156,"rP5","reg005","rGBM",0.000562025201519993,"Microglia","P5"
"157",157,"rP5","reg006","rGBM",3.46174293040645e-05,"TCD4","P5"
"158",158,"rP5","reg006","rGBM",3.22022598177344e-06,"TCD8","P5"
"159",159,"rP5","reg006","rGBM",4.96451505523405e-06,"Monocyte","P5"
"160",160,"rP5","reg006","rGBM",1.11366148536331e-05,"Macrophages","P5"
"161",161,"rP5","reg006","rGBM",1.05999105233376e-05,"DC","P5"
"162",162,"rP5","reg006","rGBM",0.000999745991258079,"Microglia","P5"
"163",163,"rP6","reg001","rGBM",8.16385608312688e-06,"TCD4","P6"
"164",164,"rP6","reg001","rGBM",1.92090731367691e-06,"TCD8","P6"
"165",165,"rP6","reg001","rGBM",3.31356511609267e-05,"Monocyte","P6"
"166",166,"rP6","reg001","rGBM",2.40113414209614e-05,"Macrophages","P6"
"167",167,"rP6","reg001","rGBM",0.000145508729011026,"DC","P6"
"168",168,"rP6","reg001","rGBM",3.02542901904114e-05,"Microglia","P6"
"169",169,"rP7","reg005","rGBM",3.71681386984104e-05,"TCD4","P7"
"170",170,"rP7","reg005","rGBM",4.90619430819018e-05,"TCD8","P7"
"171",171,"rP7","reg005","rGBM",2.52743343149191e-05,"Monocyte","P7"
"172",172,"rP7","reg005","rGBM",0.000309238913970775,"Macrophages","P7"
"173",173,"rP7","reg005","rGBM",0,"DC","P7"
"174",174,"rP7","reg005","rGBM",0.000205168125615226,"Microglia","P7"
"175",175,"rP7","reg006","rGBM",1.19928770705215e-05,"TCD4","P7"
"176",176,"rP7","reg006","rGBM",8.09519202260202e-06,"TCD8","P7"
"177",177,"rP7","reg006","rGBM",3.05818365298298e-05,"Monocyte","P7"
"178",178,"rP7","reg006","rGBM",0.000122926989972845,"Macrophages","P7"
"179",179,"rP7","reg006","rGBM",1.49910963381519e-05,"DC","P7"
"180",180,"rP7","reg006","rGBM",0.000565464153875089,"Microglia","P7"
"181",181,"rP7","reg007","rGBM",1.20360633557312e-05,"TCD4","P7"
"182",182,"rP7","reg007","rGBM",6.0180316778656e-06,"TCD8","P7"
"183",183,"rP7","reg007","rGBM",2.10631108725296e-05,"Monocyte","P7"
"184",184,"rP7","reg007","rGBM",1.42928252349308e-05,"Macrophages","P7"
"185",185,"rP7","reg007","rGBM",0,"DC","P7"
"186",186,"rP7","reg007","rGBM",0.000439316312484189,"Microglia","P7"
